symbol,name,market,industry
1101.TW,台泥,TW,水泥工業
1102.TW,亞泥,TW,水泥工業
1103.TW,嘉泥,TW,水泥工業
1104.TW,環泥,TW,水泥工業
1108.TW,幸福,TW,水泥工業
1109.TW,信大,TW,水泥工業
1110.TW,東泥,TW,水泥工業
1201.TW,味全,TW,食品工業
1203.TW,味王,TW,食品工業
1210.TW,大成,TW,食品工業
1213.TW,大飲,TW,食品工業
1215.TW,卜蜂,TW,食品工業
1216.TW,統一,TW,食品工業
1217.TW,愛之味,TW,食品工業
1218.TW,泰山,TW,食品工業
1219.TW,福壽,TW,食品工業
1220.TW,台榮,TW,食品工業
1225.TW,福懋油,TW,食品工業
1227.TW,佳格,TW,食品工業
1229.TW,聯華,TW,食品工業
1231.TW,聯華食,TW,食品工業
1232.TW,大統益,TW,食品工業
1233.TW,天仁,TW,食品工業
1234.TW,黑松,TW,食品工業
1235.TW,興泰,TW,食品工業
1236.TW,宏亞,TW,食品工業
1256.TW,鮮活果汁-KY,TW,食品工業
1301.TW,台塑,TW,塑膠工業
1303.TW,南亞,TW,塑膠工業
1304.TW,台聚,TW,塑膠工業
1305.TW,華夏,TW,塑膠工業
1307.TW,三芳,TW,塑膠工業
1308.TW,亞聚,TW,塑膠工業
1309.TW,台達化,TW,塑膠工業
1310.TW,台苯,TW,塑膠工業
1312.TW,國喬,TW,塑膠工業
1313.TW,聯成,TW,塑膠工業
1314.TW,中石化,TW,塑膠工業
1315.TW,達新,TW,塑膠工業
1319.TW,東陽,TW,汽車工業
1321.TW,大洋,TW,塑膠工業
1323.TW,永裕,TW,塑膠工業
1324.TW,地球,TW,塑膠工業
1325.TW,恆大,TW,塑膠工業
1326.TW,台化,TW,塑膠工業
1337.TW,再生-KY,TW,塑膠工業
1338.TW,廣華-KY,TW,汽車工業
1339.TW,昭輝,TW,汽車工業
1340.TW,勝悅-KY,TW,塑膠工業
1341.TW,富林-KY,TW,塑膠工業
1342.TW,八貫,TW,其他
1416.TW,廣豐,TW,其他
1435.TW,中福,TW,其他
1437.TW,勤益控,TW,其他
1443.TW,立益物流,TW,其他
1471.TW,首利,TW,電子零組件業
1503.TW,士電,TW,電機機械
1504.TW,東元,TW,電機機械
1506.TW,正道,TW,電機機械
1512.TW,瑞利,TW,汽車工業
1513.TW,中興電,TW,電機機械
1514.TW,亞力,TW,電機機械
1515.TW,力山,TW,電機機械
1516.TW,川飛,TW,其他
1517.TW,利奇,TW,電機機械
1519.TW,華城,TW,電機機械
1521.TW,大億,TW,汽車工業
1522.TW,堤維西,TW,汽車工業
1524.TW,耿鼎,TW,汽車工業
1525.TW,江申,TW,汽車工業
1526.TW,日馳,TW,電機機械
1527.TW,鑽全,TW,電機機械
1528.TW,恩德,TW,電機機械
1529.TW,樂事綠能,TW,電機機械
1530.TW,亞崴,TW,電機機械
1531.TW,高林股,TW,電機機械
1532.TW,勤美,TW,電機機械
1533.TW,車王電,TW,汽車工業
1535.TW,中宇,TW,電機機械
1536.TW,和大,TW,汽車工業
1537.TW,廣隆,TW,電機機械
1538.TW,正峰,TW,電機機械
1539.TW,巨庭,TW,電機機械
1540.TW,喬福,TW,電機機械
1541.TW,錩泰,TW,電機機械
1558.TW,伸興,TW,電機機械
1560.TW,中砂,TW,電機機械
1563.TW,巧新,TW,汽車工業
1568.TW,倉佑,TW,汽車工業
1582.TW,信錦,TW,電子零組件業
1583.TW,程泰,TW,電機機械
1587.TW,吉茂,TW,汽車工業
1589.TW,永冠-KY,TW,電機機械
1590.TW,亞德客-KY,TW,電機機械
1597.TW,直得,TW,電機機械
1603.TW,華電,TW,電器電纜
1604.TW,聲寶,TW,電器電纜
1605.TW,華新,TW,電器電纜
1608.TW,華榮,TW,電器電纜
1609.TW,大亞,TW,電器電纜
1611.TW,中電,TW,電器電纜
1612.TW,宏泰,TW,電器電纜
1614.TW,三洋電,TW,電器電纜
1615.TW,大山,TW,電器電纜
1616.TW,億泰,TW,電器電纜
1617.TW,榮星,TW,電器電纜
1618.TW,合機,TW,電器電纜
1623.TW,大東電,TW,電器電纜
1626.TW,艾美特-KY,TW,電器電纜
1702.TW,南僑,TW,食品工業
1708.TW,東鹼,TW,化學工業
1709.TW,和益,TW,化學工業
1710.TW,東聯,TW,化學工業
1711.TW,永光,TW,化學工業
1712.TW,興農,TW,化學工業
1713.TW,國化,TW,化學工業
1714.TW,和桐,TW,化學工業
1717.TW,長興,TW,化學工業
1718.TW,中纖,TW,化學工業
1721.TW,三晃,TW,化學工業
1722.TW,台肥,TW,化學工業
1723.TW,中碳,TW,化學工業
1725.TW,元禎,TW,化學工業
1726.TW,永記,TW,化學工業
1727.TW,中華化,TW,化學工業
1730.TW,花仙子,TW,化學工業
1732.TW,毛寶,TW,化學工業
1735.TW,日勝化,TW,化學工業
1737.TW,臺鹽,TW,食品工業
1773.TW,勝一,TW,化學工業
1776.TW,展宇,TW,化學工業
1802.TW,台玻,TW,玻璃陶瓷
1806.TW,冠軍,TW,玻璃陶瓷
1809.TW,中釉,TW,玻璃陶瓷
1810.TW,和成,TW,玻璃陶瓷
1817.TW,凱撒衛,TW,玻璃陶瓷
1903.TW,士紙,TW,造紙工業
1904.TW,正隆,TW,造紙工業
1905.TW,華紙,TW,造紙工業
1906.TW,寶隆,TW,造紙工業
1907.TW,永豐餘,TW,造紙工業
1909.TW,榮成,TW,造紙工業
2002.TW,中鋼,TW,鋼鐵工業
2006.TW,東和鋼鐵,TW,鋼鐵工業
2007.TW,燁興,TW,鋼鐵工業
2008.TW,高興昌,TW,鋼鐵工業
2009.TW,第一銅,TW,鋼鐵工業
2010.TW,春源,TW,鋼鐵工業
2012.TW,春雨,TW,鋼鐵工業
2013.TW,中鋼構,TW,鋼鐵工業
2014.TW,中鴻,TW,鋼鐵工業
2015.TW,豐興,TW,鋼鐵工業
2017.TW,官田鋼,TW,鋼鐵工業
2020.TW,美亞,TW,鋼鐵工業
2022.TW,聚亨,TW,鋼鐵工業
2023.TW,燁輝,TW,鋼鐵工業
2024.TW,志聯,TW,鋼鐵工業
2025.TW,千興,TW,鋼鐵工業
2027.TW,大成鋼,TW,鋼鐵工業
2028.TW,威致,TW,鋼鐵工業
2029.TW,盛餘,TW,鋼鐵工業
2030.TW,彰源,TW,鋼鐵工業
