symbol,name,market,industry
2330.TW,台積電,TW,半導體
2317.TW,鴻海,TW,電子代工
2454.TW,聯發科,TW,IC 設計
2308.TW,台達電,TW,電源管理
2382.TW,廣達,TW,電腦週邊
3231.TW,緯創,TW,電子代工
2356.TW,英業達,TW,電子代工
2324.TW,仁寶,TW,電子代工
2376.TW,技嘉,TW,主機板
2377.TW,微星,TW,主機板
2303.TW,聯電,TW,半導體
3711.TW,日月光投控,TW,封測
3034.TW,聯詠,TW,IC 設計
3661.TW,世芯-KY,TW,IC 設計
3443.TW,創意,TW,IC 設計
6669.TW,緯穎,TW,伺服器
3017.TW,奇鋐,TW,散熱
3324.TWO,雙鴻,TWO,散熱
3653.TW,健策,TW,散熱
8046.TWO,南電,TWO,載板
3037.TW,欣興,TW,PCB
3533.TW,嘉澤,TW,連接器
3008.TW,大立光,TW,光學
2395.TW,研華,TW,工業電腦
2412.TW,中華電,TW,電信
3045.TW,台灣大,TW,電信
4904.TW,遠傳,TW,電信
2881.TW,富邦金,TW,金融
2882.TW,國泰金,TW,金融
2891.TW,中信金,TW,金融
2886.TW,兆豐金,TW,金融
2884.TW,玉山金,TW,金融
5871.TW,中租-KY,TW,金融租賃
1216.TW,統一,TW,食品
1301.TW,台塑,TW,塑化
1303.TW,南亞,TW,塑化
2002.TW,中鋼,TW,鋼鐵
2207.TW,和泰車,TW,汽車
2603.TW,長榮,TW,航運
2609.TW,陽明,TW,航運
2615.TW,萬海,TW,航運
6488.TWO,環球晶,TWO,半導體
6187.TWO,萬潤,TWO,設備
4743.TWO,合一,TWO,生技
3293.TWO,鈊象,TWO,遊戲
0050.TW,元大台灣50,ETF,ETF
006208.TW,富邦台50,ETF,ETF
